x y z
0.0348453 0.0838724 0
0.0348453 0.0873018 0
0.0348453 0.0901547 0
0.0348453 0.0922518 0
0.0348453 0.0934619 0
0.0376982 0.0627881 0
0.0376982 0.0639982 0
0.0376982 0.0660953 0
0.0376982 0.0689482 0
0.0376982 0.0723776 0
0.0376982 0.0761682 0
0.0376982 0.0800818 0
0.0376982 0.0838724 0
0.0376982 0.0873018 0
0.0376982 0.0901547 0
0.0376982 0.0922518 0
0.0376982 0.0934619 0
0.0411276 0.0627881 0
0.0411276 0.0639982 0
0.0411276 0.0660953 0
0.0411276 0.0689482 0
0.0411276 0.0723776 0
0.0411276 0.0761682 0
0.0411276 0.0800818 0
0.0411276 0.0838724 0
0.0411276 0.0873018 0
0.0411276 0.0901547 0
0.0411276 0.0922518 0
0.0411276 0.0934619 0
0.0449182 0.0627881 0
0.0449182 0.0639982 0
0.0449182 0.0660953 0
0.0449182 0.0689482 0
0.0449182 0.0723776 0
0.0449182 0.0761682 0
0.0449182 0.0800818 0
0.0449182 0.0838724 0
0.0449182 0.0873018 0
0.0449182 0.0901547 0
0.0449182 0.0922518 0
0.0449182 0.0934619 0
0.0488318 0.0627881 0
0.0488318 0.0639982 0
0.0488318 0.0660953 0
0.0488318 0.0689482 0
0.0488318 0.0723776 0
0.0488318 0.0761682 0
0.0488318 0.0800818 0
0.0488318 0.0838724 0
0.0488318 0.0873018 0
0.0488318 0.0901547 0
0.0488318 0.0922518 0
0.0488318 0.0934619 0
0.0526224 0.0627881 0
0.0526224 0.0639982 0
0.0526224 0.0660953 0
0.0526224 0.0689482 0
0.0526224 0.0723776 0
0.0526224 0.0761682 0
0.0526224 0.0800818 0
0.0526224 0.0838724 0
0.0526224 0.0873018 0
0.0526224 0.0901547 0
0.0526224 0.0922518 0
0.0526224 0.0934619 0
0.0560518 0.0627881 0
0.0560518 0.0639982 0
0.0560518 0.0660953 0
0.0560518 0.0689482 0
0.0560518 0.0723776 0
0.0560518 0.0761682 0
0.0560518 0.0800818 0
0.0560518 0.0838724 0
0.0560518 0.0873018 0
0.0560518 0.0901547 0
0.0560518 0.0922518 0
0.0560518 0.0934619 0
0.0589047 0.0627881 0
0.0589047 0.0639982 0
0.0589047 0.0660953 0
0.0589047 0.0689482 0
0.0589047 0.0723776 0
0.0589047 0.0761682 0
0.0589047 0.0800818 0
0.0589047 0.0838724 0
0.0589047 0.0873018 0
0.0589047 0.0901547 0
0.0589047 0.0922518 0
0.0589047 0.0934619 0
0.0610018 0.0627881 0
0.0610018 0.0639982 0
0.0610018 0.0660953 0
